Year,Make,Model,Type,Seats,Doors
2017,Dodge,DURANGO,3.6 L  GT SUV,7,5
2017,Dodge,DURANGO,3.6 L  SXT HIGHLINE SUV,7,5
2017,Dodge,DURANGO,3.6 L  SXT SUV,7,5
2017,Dodge,DURANGO,5.7 L  R/T SUV,7,5
2017,Dodge,NEON,1.6 L  SE Sedan,5,4
2017,Dodge,NEON,1.6 L  SXT HIGHLINE Sedan,5,4
2017,Dodge,NEON,1.6 L  SXT PLUS Sedan,5,4
2017,Dodge,NEON,1.6 L  SXT Sedan,5,4
2017,Ferrari,488 SPIDER,3.9 L F1 STD Coupe/Cabriolet,2,2
2017,Ferrari,CALIFORNIA,3.9 L F1 T Coupe/Cabriolet,4,2
2017,Ferrari,GTC4,3.9 L F1 LUSSO T Coupe,4,3
2017,Ferrari,GTC4,6.3 L Dual Clutch LUSSO Coupe,4,3
2017,Fiat,500,1.4 L  LOUNGE Convertible,4,2
2017,Fiat,500,1.4 L  LOUNGE Hatchback,4,3
2017,Fiat,500,1.4 L  LOUNGE LTH SR AW Hatchback,4,3
2017,Ford,ECOSPORT,1.5 L Dual Clutch AMBIENTE SUV,5,5
2017,Ford,ECOSPORT,1.5 L Dual Clutch TITANIUM SUV,5,5
2017,Ford,ECOSPORT,1.5 L Dual Clutch TREND SUV,5,5
2017,Ford,EDGE,2.0 L  SE SUV,5,5
2017,Ford,EDGE,2.0 L  SEL SUV,5,5
2017,Ford,EDGE,2.7 L  SPORT SUV,5,5
2017,Ford,EDGE,3.5 L  SE SUV,5,5
2017,Ford,EDGE,3.5 L  SEL SUV,5,5
2017,Ford,EDGE,3.5 L  TITANIUM SUV,5,5
2017,Ford,EDGE,3.5 L  TITANIUM TOP SUV,5,5
2017,Ford,ESCAPE,2.0 L  SE LEATHER SUV,5,5
2017,Ford,ESCAPE,2.5 L  S SUV,5,5
2017,Ford,ESCAPE,2.5 L  SE SUV,5,5
2017,Ford,EXPEDITION,3.5 L  LTD SUV,8,5
2017,Ford,EXPEDITION,3.5 L  XL SUV,8,5
2017,Ford,EXPEDITION,3.5 L  XLT LTH SUV,8,5
2017,Ford,EXPEDITION,3.5 L  XLT SUV,8,5
2017,Ford,EXPEDITION   EL,3.5 L  LTD SUV,8,5
2017,Ford,EXPEDITION   EL,3.5 L  XL  CLTH SUV,8,5
2017,Ford,EXPLORER,3.5 L  LTD SUV,7,5
2017,Ford,EXPLORER,3.5 L  LTD TOP SUV,7,5
2017,Ford,EXPLORER,3.5 L  SPORT LEATHER SUV,7,5
2017,Ford,EXPLORER,3.5 L  STD SUV,7,5
2017,Ford,EXPLORER,3.5 L  XLT  LTH SUV,7,5
2017,Ford,EXPLORER,3.5 L  XLT SUV,7,5
2017,Ford,F-150,5.0 L  XLT CREW CAB CHROME PACK Pick Up Double Cab,5,4
2017,Ford,FIESTA,1.6 L POWERSHIFT TITANIUM Hatchback,5,5
2017,Ford,FIESTA,1.6 L POWERSHIFT TREND Hatchback,5,5
2017,Ford,FIGO,1.5 L POWERSHIFT AMBIENTE Hatchback,5,5
2017,Ford,FIGO,1.5 L POWERSHIFT AMBIENTE Sedan,5,4
