Make Code,Model Code,Description
0161,170801,Camaro  Coupe
0161,170901,Baretta
0161,171001,Blazer Station
0161,171002,Haerse
0161,171003,Blazer Box
0161,171101,Cavalier
0161,171102,Cavalier Coupe
0161,171201,Celebrity Saloon
0161,171301,Corsica Saloon
0161,171401,Corvette
0161,171501,Impala S/Wagon
0161,171502,Impala Saloon
0161,171601,Malibu
0161,171701,Chassis
0161,171702,Ambulance
0161,171703,Boom Wrecker
0161,171704,Brake Down
0161,171705,Drilling Rig
0161,171706,Excavator
0161,171707,Hi Loader
0161,171708,Lorry
0161,171709,Mobile X-Ray Unit
0161,171710,Mounted Drilling Rig
0161,171711,Refrigerator
0161,171712,Tanker
0161,171713,Tipper
0161,171714,Tractor
0161,171715,Truck
0161,171716,Wrecker
0161,171717,Fire Truck
0161,171801,Sprint
0161,171802,Hatch Back
0161,171803,Avalche Pick Up
0161,171804,Lumina Coupe
0161,171805,Coupe
0161,171806,Selverado Pick Up
0161,171807,Uplander
0161,171808,Captiva
0161,171809,Spark
0161,171810,Traverse
0161,171811,Colorado
0161,171812,Royal
0161,171813,Traverse
0161,171814,Silverado
0161,171815,Express Passenger Van
0048,171816,Austin Martin
0161,171817,Cargo Van
0161,171818,Avalanche
0161,171819,Trax
0161,171820,Terrain
0161,171821,Camaro SS
0161,171822,Corvette Z06
0161,171823,Corvette ZR1
0161,171824,CSV CR8
0164,171825,300 C SRT8
0164,171826,Crossfire
0164,171827,Town and Country
0167,171828,C2
0167,171829,C3
0167,171830,C4
0167,171831,C4 Picasso
0167,171832,C8
